num	glyph	G0-source	description
1	啊	G0-3021	GB/T 2312—1980，16—01
2	阿	G0-3022	GB/T 2312—1980，16—02
3	埃	G0-3023	GB/T 2312—1980，16—03
4	挨	G0-3024	GB/T 2312—1980，16—04
5	哎	G0-3025	GB/T 2312—1980，16—05
6	唉	G0-3026	GB/T 2312—1980，16—06
7	哀	G0-3027	GB/T 2312—1980，16—07
8	皑	G0-3028	GB/T 2312—1980，16—08
9	癌	G0-3029	GB/T 2312—1980，16—09
10	蔼	G0-302A	GB/T 2312—1980，16—10
11	矮	G0-302B	GB/T 2312—1980，16—11
12	艾	G0-302C	GB/T 2312—1980，16—12
13	碍	G0-302D	GB/T 2312—1980，16—13
14	爱	G0-302E	GB/T 2312—1980，16—14
15	隘	G0-302F	GB/T 2312—1980，16—15
16	鞍	G0-3030	GB/T 2312—1980，16—16
17	氨	G0-3031	GB/T 2312—1980，16—17
18	安	G0-3032	GB/T 2312—1980，16—18
19	俺	G0-3033	GB/T 2312—1980，16—19
20	按	G0-3034	GB/T 2312—1980，16—20
21	暗	G0-3035	GB/T 2312—1980，16—21
22	岸	G0-3036	GB/T 2312—1980，16—22
23	胺	G0-3037	GB/T 2312—1980，16—23
24	案	G0-3038	GB/T 2312—1980，16—24
25	肮	G0-3039	GB/T 2312—1980，16—25
26	昂	G0-303A	GB/T 2312—1980，16—26
27	盎	G0-303B	GB/T 2312—1980，16—27
28	凹	G0-303C	GB/T 2312—1980，16—28
29	敖	G0-303D	GB/T 2312—1980，16—29
30	熬	G0-303E	GB/T 2312—1980，16—30
31	翱	G0-303F	GB/T 2312—1980，16—31
32	袄	G0-3040	GB/T 2312—1980，16—32
33	傲	G0-3041	GB/T 2312—1980，16—33
34	奥	G0-3042	GB/T 2312—1980，16—34
35	懊	G0-3043	GB/T 2312—1980，16—35
36	澳	G0-3044	GB/T 2312—1980，16—36
37	芭	G0-3045	GB/T 2312—1980，16—37
38	捌	G0-3046	GB/T 2312—1980，16—38
39	扒	G0-3047	GB/T 2312—1980，16—39
40	叭	G0-3048	GB/T 2312—1980，16—40
41	吧	G0-3049	GB/T 2312—1980，16—41
42	笆	G0-304A	GB/T 2312—1980，16—42
43	八	G0-304B	GB/T 2312—1980，16—43
44	疤	G0-304C	GB/T 2312—1980，16—44
45	巴	G0-304D	GB/T 2312—1980，16—45
46	拔	G0-304E	GB/T 2312—1980，16—46
47	跋	G0-304F	GB/T 2312—1980，16—47
48	靶	G0-3050	GB/T 2312—1980，16—48
49	把	G0-3051	GB/T 2312—1980，16—49
50	耙	G0-3052	GB/T 2312—1980，16—50
51	坝	G0-3053	GB/T 2312—1980，16—51
52	霸	G0-3054	GB/T 2312—1980，16—52
53	罢	G0-3055	GB/T 2312—1980，16—53
54	爸	G0-3056	GB/T 2312—1980，16—54
55	白	G0-3057	GB/T 2312—1980，16—55
56	柏	G0-3058	GB/T 2312—1980，16—56
57	百	G0-3059	GB/T 2312—1980，16—57
58	摆	G0-305A	GB/T 2312—1980，16—58
59	佰	G0-305B	GB/T 2312—1980，16—59
60	败	G0-305C	GB/T 2312—1980，16—60
61	拜	G0-305D	GB/T 2312—1980，16—61
62	稗	G0-305E	GB/T 2312—1980，16—62
63	斑	G0-305F	GB/T 2312—1980，16—63
64	班	G0-3060	GB/T 2312—1980，16—64
65	搬	G0-3061	GB/T 2312—1980，16—65
66	扳	G0-3062	GB/T 2312—1980，16—66
67	般	G0-3063	GB/T 2312—1980，16—67
68	颁	G0-3064	GB/T 2312—1980，16—68
69	板	G0-3065	GB/T 2312—1980，16—69
70	版	G0-3066	GB/T 2312—1980，16—70
71	扮	G0-3067	GB/T 2312—1980，16—71
72	拌	G0-3068	GB/T 2312—1980，16—72
73	伴	G0-3069	GB/T 2312—1980，16—73
74	瓣	G0-306A	GB/T 2312—1980，16—74
75	半	G0-306B	GB/T 2312—1980，16—75
76	办	G0-306C	GB/T 2312—1980，16—76
77	绊	G0-306D	GB/T 2312—1980，16—77
78	邦	G0-306E	GB/T 2312—1980，16—78
79	帮	G0-306F	GB/T 2312—1980，16—79
80	梆	G0-3070	GB/T 2312—1980，16—80
81	榜	G0-3071	GB/T 2312—1980，16—81
82	膀	G0-3072	GB/T 2312—1980，16—82
