赚,半数嫌贵
雳,历经风雨见丹心
雳,历经风雨方团聚
雳,历经风雨见红颜
进,井边无力朝前走
进,走上井冈不见冈
进,古田之行
贝,做人要一日三省
贝,回来团圆
贝,想生财要聚才
贝,贸然前行
贝,一个回合，圆满成功
贝,只要有才，就能生财。
贝,借才生财
贝,合金小挂锁
膜,一钩新月破黄昏
膜,二十出人头，胆识过人
膜,清明之前扫墓土
膜,后期隐幕后
膜,隐藏幕后半露面
膜,一月二十日大团圆
膜,杜鹃声里斜阳暮
膜,艺高人有胆
幼,乡下改革有后劲
幼,务将基层系在心
眖,哥哥一半在眼前
眖,哥哥眼里亮堂堂
眖,哥哥眼里只有一个宝
眖,哥哥一半看在眼里
眖,哥哥眼前泪双流
眖,哥哥眼里只有一张口
搭,一人一口一只手
喏,吃苦在前方方安
喏,吃苦在前方
喏,若要无心应开口
亮,一派冗言，不见其内容
亮,一派冗言，不得其实。
亮,亭前小桥几曾来
亮,献爱心，求芳心；去凡心，结同心
亮,亭前小桥曾几度
拆,欲诉无言搔更短
层,有点门道
层,肩挑星月两相映
层,一进屋内尘不染
层,远山残月两相映
葇,花前柔柳拂伤心
葇,花前柔柳半含酸
玑,凡心清净望南归
玑,一江清水乘风去
赵,禁止通行
赵,误入歧途
赵,差生有进步
赵,无言定下离间计
赵,走是不对的
差,羞得一直不露面
差,着眼不到，功绩半失掉。
差,羊左相交共一心
瞡,规劝皇上放眼量
芍,花前独酌过黄昏
芍,钓鱼浮藻间，不见金鱼来
芍,留点春姿在菊中
芍,苟然缄口案前立
芍,北方菜系素的少
碽,贡献大一点，建厂有方
货,人到了，比赛开始
货,武后赋得花早发
货,人倚残花依稀见
货,摘去贫帽靠变革
货,失败后有人倾心助
货,代购前要借笔款
货,七人八只眼
倪,是儿故态惹人怜
倪,倚杖白头一老儿
倪,孤儿不孤有人照顾
倪,须臾人出接儿归
陂,波光水影映阶前
陂,投石破开东南隅
頋,厄运来时须先溜
頋,厄运当终后来顺
瘾,阵前病急揪成团
笉,个个都匀
笉,个个匀称
笉,个个匀
甑,曾经瓦解过一日
甑,曾经瓦解过
甑,曾经瓦解过一家
甑,曾经瓦解
甑,曾经瓦解过一个
甑,曾经瓦解锁
甑,曾经瓦解过一方
甑,曾经瓦解何艰难
甑,曾经瓦解过一伙
甑,曾经瓦解锁双眉
狮,先生面前才弯腰
狮,先生来到才鞠躬
狮,猜前恰遇启蒙人
狮,训犬人
狮,八戒行者随长老
哪,画窗半隐西晕月
觊,凯旋归后再相逢
觊,岂容他人见我
觊,岂容他人窥野径
觊,岂容我见
觊,岂容他人窥我志
觊,仰见高山我相见
觊,岂容他人窥视我
觊,岂容他人窥野望
觊,岂容他人窥我意
伲,花草迷离映屏前
伲,残月落花人独立
裕,左邻有衣无食，右舍有食无衣，两家团结互助，马上足食丰衣。
裕,西村有衣，东村有谷；组织起来，丰衣足食。
裕,糠
裕,丰衣足食
裕,有吃有穿生活好
裕,有吃有穿
裕,先礼后兵得要点，为人有方意宽饶
裕,左拾遗右补阙
我,觅得新月来
我,共食不饱
我,飞蛾扑火
我,找来一把刀解剖自己
绍,争先来把绝招显
绍,绝招出手应失色
绍,纠偏昭雪之日
祟,山上山下禁毁林
祟,山上还有山，小二藏下面。
祟,层岭叠峦无边际
祟,放告
锌,无钱苦，有钱也苦
砬,树碑
纥,鹃燕飞来垂柳边
恰,人要心口一致
恰,心口如一为人正
恰,正中下怀
恰,为人要心口如一
恰,不离方寸
恰,同心人把心相连
恰,有心结合
恰,一人一心一张口
恰,改革之日，人心思变
恰,中意
恰,中州进口大变化
恰,事事如意
螭,孤帆远影碧空尽
螭,离开闽中到山西
螭,离开虎口
螭,离开闽中到西北
姬,花窗半掩现闺人
姬,花窗半掩千金体
钾,锦标在前誓夺冠
钾,印谜：头
钾,一天干后就领钱
殄,一夕东川斜雁阵
殄,长堤垂柳夜归人
墉,庸人自居住
纺,异乡芳草疏
纺,江畔红消芳草疏
纺,边防前线
臄,月边叫卖卖猪肉
以,两人争球，一人倒勾。
以,水上又见心上人，独来独往独自己。为情雨下下雨天，为何相见无言语。相之见见还孤单，今生只爱你一人，单己单行单相思。
以,人生如意
以,与人相似
以,一字五笔，无横无直。有谁似他，依人而立
簼,提刀削竹签
簼,提刀削竹
俑,一人冲上勇当先
俑,仁勇为先
俑,低头欲诵难成言
俑,宁波附中
俑,有勇者出力
坊,不妨先坐下
坊,仿诗讨人厌
坊,民间疗法
坊,作诗摹仿讨人厌
坊,芳草掩映寺前生
坊,芳草离离生塘边
潇,乃知一念静
逑,球王隐退之后
逑,夹缝之中求生存
逑,钱江一水带潮头
迕,十二点动身
迕,送出关时不许言
舱,轻舟载人归
舱,孤舟人独行
舱,小舟人卧沧浪空
愣,东南西北共一心
愣,一转跟，芳草无情色调零
愣,东西南北一条心
愣,上下左右一条心
蜇,撕去中间小虫子
蜇,撕去中间小虫
绡,桂魄当空赴前线
绡,老赵出走奔异乡
咖,两口用力占东西
咖,双方有后劲
咖,为了这两点，双方要配合。
咖,致力于东西方合作
咖,东部出口新加坡，西部出口多伦多
咖,力争产品出口
咖,力求东西方合作
咖,双方使劲
傩,为人难，先入群
傩,人难当上排头兵
傩,为人难，先入困
傩,为难之中又出人
傩,为人难
宦,直入冠盖一大夫
宦,在朝为官邀上宠
礨,石头成堆
